Ref_Date,GEO,Geographical classification,SEX,CAUSES,UNIT,Vector,Coordinate,Value
1996/1998,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916404,1.1.1.1,357.8
1997/1999,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916404,1.1.1.1,362.5
1998/2000,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916404,1.1.1.1,367.9
1999/2001,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916404,1.1.1.1,371.9
2000/2002,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916404,1.1.1.1,372.8
2001/2003,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916404,1.1.1.1,372.2
2002/2004,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916404,1.1.1.1,371.9
2003/2005,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916404,1.1.1.1,375.1
2004/2006,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916404,1.1.1.1,376.7
2005/2007,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Cancer incidence,v79916404,1.1.1.1,378.2
1996/1998,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916405,1.1.1.2,356.3
1997/1999,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916405,1.1.1.2,361.1
1998/2000,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916405,1.1.1.2,366.5
1999/2001,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916405,1.1.1.2,370.5
2000/2002,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916405,1.1.1.2,371.4
2001/2003,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916405,1.1.1.2,370.8
2002/2004,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916405,1.1.1.2,370.5
2003/2005,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916405,1.1.1.2,373.7
2004/2006,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916405,1.1.1.2,375.3
2005/2007,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"Low 95% confidence interval, cancer incidence",v79916405,1.1.1.2,376.9
1996/1998,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916406,1.1.1.3,359.2
1997/1999,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916406,1.1.1.3,363.9
1998/2000,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916406,1.1.1.3,369.4
1999/2001,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916406,1.1.1.3,373.3
2000/2002,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916406,1.1.1.3,374.2
2001/2003,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916406,1.1.1.3,373.6
2002/2004,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916406,1.1.1.3,373.3
2003/2005,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916406,1.1.1.3,376.5
2004/2006,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916406,1.1.1.3,378.1
2005/2007,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),"High 95% confidence interval, cancer incidence",v79916406,1.1.1.3,379.6
1996/1998,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916408,1.1.1.5,..
1997/1999,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916408,1.1.1.5,1
1998/2000,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916408,1.1.1.5,1
1999/2001,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916408,1.1.1.5,1
2000/2002,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916408,1.1.1.5,0
2001/2003,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916408,1.1.1.5,0
2002/2004,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916408,1.1.1.5,0
2003/2005,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916408,1.1.1.5,1
2004/2006,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916408,1.1.1.5,0
2005/2007,"Total, census metropolitan areas",,Both sexes,All invasive primary cancer sites (including in situ bladder),Statistically different from reference period five years previous,v79916408,1.1.1.5,0
1996/1998,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916409,1.1.2.1,45
1997/1999,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916409,1.1.2.1,45.6
1998/2000,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916409,1.1.2.1,46.9
1999/2001,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916409,1.1.2.1,47.1
2000/2002,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916409,1.1.2.1,47.3
2001/2003,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916409,1.1.2.1,46.8
2002/2004,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916409,1.1.2.1,46.8
2003/2005,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916409,1.1.2.1,46.9
2004/2006,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916409,1.1.2.1,46.7
2005/2007,"Total, census metropolitan areas",,Both sexes,"Colon, rectum and rectosigmoid junction cancer",Cancer incidence,v79916409,1.1.2.1,46.3
