#Label,Order,sizeWiki,ColArea,X,Y,E0
United States,,289237,,-112.491509,45.695576,North America
United Kingdom,,126905,,-2.895583,54.155349,Europe
Poland,,106530,,19.400884,52.12461,Europe
Germany,,102780,,10.393646,51.106562,Europe
Netherlands,,67884,,5.603418,52.249263,Europe
France,,66177,,2.551954,46.564502,Europe
Russia,,54300,,96.57769,61.946135,Europe
Spain,,42351,,-3.649565,40.226828,Europe
Canada,,40058,,-98.26533,61.392016,North America
Ukraine,,36249,,31.387114,49.017088,Europe
Japan,,32787,,137.990744,37.56216,Asia
AUS,,32496,,134.489562,-25.734968,Oceania
BEL,,31641,,4.663987,50.642851,Europe
Italy,,28391,,12.07174,42.795781,Europe
CZE,,22909,,15.338412,49.742859,Europe
India,,18176,,79.616201,22.883477,Asia
CHE,,18133,,8.234393,46.802495,Europe
NOR,,17524,,14.0848,64.448169,Europe
AUT,,15330,,14.140191,47.592902,Europe
SWE,,14588,,16.739754,62.789896,Europe
China,,12372,,103.891766,36.519977,Asia
ROM,,9879,,24.969258,45.843614,Europe
LTU,,9805,,23.89812,55.33567,Europe
BRA,,9729,,-53.089819,-10.773108,South America
DNK,,7995,,10.046297,55.963396,Europe
ATA,,7833,,21.303386,-80.445929,Oceania
SVN,,7446,,14.826538,46.123564,Europe
EST,,7264,,25.527616,58.674136,Europe
ARG,,7245,,-65.167727,-35.376437,South America
BGR,,7201,,25.231506,42.761376,Europe
AZE,,6880,,48.819827,40.296991,Asia
BIH,,6824,,17.78653,44.168115,Europe
PRT,,6768,,-8.562741,39.600988,Europe
MEX,,6592,,-102.532886,23.950464,North America
FIN,,6364,,26.266371,64.500422,Europe
SRB,,6158,,20.805457,44.032045,Europe
GRC,,6149,,22.959744,39.068538,Europe
HRV,,6018,,16.41178,45.051162,Europe
SVK,,5834,,19.491652,48.70753,Europe
TUR,,5424,,35.179672,39.060595,Asia
HUN,,4931,,19.413449,47.166502,Europe
NZL,,4545,,171.779899,-41.838873,Oceania
ZAF,,4369,,25.092539,-28.99853,Africa
IRL,,4168,,-8.15058,53.176379,Europe
ISR,,4040,,34.965856,31.358529,Asia
Nepal,,3762,,83.938547,28.253007,Asia
PAK,,3313,,69.385965,29.967022,Asia
Iran,,3096,,54.197765,32.739463,Asia
TLS,,3076,,125.85367,-8.822978,Asia
PHL,,2910,,122.878708,11.741833,Asia
IDN,,2644,,117.300426,-2.230213,Asia
Chile,,2610,,-71.373979,-37.852488,South America
MDG,,2530,,46.706039,-19.373383,Africa
THA,,2444,,101.017361,15.127035,Asia
Kenya,,2369,,37.857881,0.529861,Africa
BLR,,2165,,28.046787,53.539997,Europe
Cuba,,2155,,-79.036352,21.62117,North America
MMR,,2126,,96.50692,21.154318,Asia
COL,,2110,,-73.073368,3.901155,South America
BGD,,1966,,90.268498,23.843231,Asia
MDA,,1927,,28.47393,47.19387,Europe
BOL,,1917,,-64.670931,-16.71461,South America
ARM,,1854,,44.947393,40.2862,Asia
ETH,,1790,,39.616032,8.626219,Africa
Egypt,,1604,,29.871958,26.494254,Africa
BFA,,1471,,-1.74014,12.277929,Africa
MON,,1465,,19.253238,42.791324,Europe
KOR,,1420,,127.834772,36.375089,Asia
DZA,,1371,,2.632388,28.163239,Africa
AFG,,1370,,66.02647,33.838805,Asia
VNM,,1310,,106.301473,16.659257,Asia
NGA,,1303,,8.105306,9.59396,Africa
Mali,,1262,,-3.524422,17.350279,Africa
MYS,,1259,,109.708191,3.792367,Asia
KAZ,,1234,,66.657823,48.015985,Asia
PRI,,1212,,-66.46234,18.221329,North America
LKA,,1204,,80.704727,7.608085,Asia
ISR,,1144,,35.256418,31.946636,Europe
Peru,,1104,,-74.375627,-9.16376,South America
LVA,,1019,,24.929425,56.857535,Europe
ALB,,1015,,20.068384,41.142286,Europe
ISL,,978,,-18.605467,64.997588,Europe
LUX,,947,,6.087813,49.770628,Europe
GTM,,942,,-90.356243,15.702133,North America
MAR,,937,,-6.317846,31.883624,Africa
UGA,,932,,32.386217,1.279963,Africa
Syria,,906,,38.505131,35.013133,Asia
GEO,,868,,43.517447,42.176311,Asia
GRL,,866,,-41.389501,74.720918,North America
ARE,,857,,54.335155,23.910933,Asia
KGZ,,853,,74.555596,41.465054,Asia
TKM,,850,,58.391314,39.218792,Asia
SGP,,835,,103.808051,1.351616,Asia
VEN,,778,,-66.169563,7.122448,South America
MKD,,776,,21.697476,41.599682,Europe
Iraq,,763,,43.772134,33.048025,Asia
CYP,,756,,33.22176,35.04588,Asia
GIN,,745,,-10.941772,10.438212,Africa
CRI,,726,,-84.187941,9.970202,North America
PNG,,708,,145.241217,-6.478766,Oceania
Togo,,700,,0.975721,8.53496,Africa
URY,,698,,-56.012396,-32.799645,South America
CIV,,695,,-5.555619,7.631533,Africa
Yemen,,682,,47.599967,15.905618,Asia
ZAR,,673,,23.655005,-2.876234,Africa
MOZ,,672,,35.552199,-17.260054,Africa
NAM,,667,,17.218277,-22.133248,Africa
MNG,,662,,103.083217,46.83529,Asia
TUN,,650,,9.561335,34.11086,Africa
Sudan,,634,,30.049951,13.831534,Africa
FRO,,633,,-6.884108,62.031063,Europe
AGO,,622,,17.544675,-12.295285,Africa
ECU,,621,,-78.767072,-1.42742,South America
LBN,,603,,35.888026,33.920265,Asia
Ghana,,594,,-1.207301,7.959847,Africa
TZA,,574,,34.823453,-6.270353,Africa
KHM,,546,,104.923981,12.716431,Asia
SAU,,517,,44.546245,24.123,Asia
JAM,,509,,-77.319012,18.151419,North America
Niger,,502,,9.397647,17.426149,Africa
